UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment,month,text,label
29309,74261,"Tidal County, Knoxville, TN",01-04-2020,Overwhelmed with info Before you act stop Ask yourself 1 Who is the message from 2 What do they want me to do 3 What evidence supports this message Then let the answers guide your next steps More via,Positive,1,Overwhelmed with info Before you act stop Ask yourself 1 Who is the message from 2 What do they want me to do 3 What evidence supports this message Then let the answers guide your next steps More via,2
29700,74652,Liverpool,01-04-2020,Meet Alan Supermarket staff like him are working around the clock to keep the shelves stocked Without them there wouldn t be any food in your fridge during the lockdown,Positive,1,Meet Alan Supermarket staff like him are working around the clock to keep the shelves stocked Without them there wouldn t be any food in your fridge during the lockdown,2
29703,74655,"Oklahoma City, OK",01-04-2020,"Shopping online has been the go-to option for many people during the COVID19 pandemic but savings experts say you must watch for third-party sellers.

https://t.co/0al9keYAuf",Positive,1,"Shopping online has been the go-to option for many people during the COVID19 pandemic but savings experts say you must watch for third-party sellers.

url",2
29704,74656,"Minot, ND",01-04-2020,"Marketplace Foods in Minot has had the service for about a year, but as youÂd expect, itÂs seen an uptick in business lately. https://t.co/me1PcVoZA1",Neutral,1,"Marketplace Foods in Minot has had the service for about a year, but as youÂd expect, itÂs seen an uptick in business lately. url",1
29707,74659,"Lichfield, England",01-04-2020,News Boss of supermarket says buying limits will remain for now,Neutral,1,News Boss of supermarket says buying limits will remain for now,1
29709,74661,"New York, NY",01-04-2020,"Big #Tech companies are cracking down on false information regarding #coronavirus ?
https://t.co/lhB1OvlzSS",Neutral,1,"Big Tech companies are cracking down on false information regarding coronavirus ?
url",1
29710,74662,Nairobi,01-04-2020,"Agriculture CS says there is no need to panic as Kenya has enough food #coronaviruskenya #Covid_19 #FoodSecurity     @kilimoKE @FAO @FAOKenya @OkisegereOjepat @kenyaflower 
https://t.co/UgCcSawOsx",Extremely Negative,1,"Agriculture CS says there is no need to panic as Kenya has enough food coronaviruskenya Covid_19 FoodSecurity          
url",0
29714,74666,Fighting the War on Stupid ,01-04-2020,A big kudos to for arresting a man for thousands of s amp items selling them to at inflated prices officials say he claimed he was infected with amp coughed on the agents,Neutral,1,A big kudos to for arresting a man for thousands of s amp items selling them to at inflated prices officials say he claimed he was infected with amp coughed on the agents,1
29715,74667,"Abuja, Nigeria",01-04-2020,"#Covid_19: Hunger dey everywhere! Abeg, Bring down prices Â Ezinne Aja yan Food Sellers https://t.co/WW87bU5Q22 via @TalkHealth9ja",Negative,1,"Covid_19: Hunger dey everywhere! Abeg, Bring down prices Â Ezinne Aja yan Food Sellers url via",0
29717,74669,Atlanta,01-04-2020,Cautiously optimistic Chinese consumer behavior post COVID 19 interesting study allowing for a  preview  of how behavior might at least in part be changing in Europe and the western world too 19,Extremely Positive,1,Cautiously optimistic Chinese consumer behavior post COVID 19 interesting study allowing for a  preview  of how behavior might at least in part be changing in Europe and the western world too 19,2
29719,74671,"Lenoir, N.C.",01-04-2020,"Some local farms have seen an influx of business as people concerned about COVID-19 stock up on food.

https://t.co/sdSezzmbtp",Neutral,1,"Some local farms have seen an influx of business as people concerned about COVID-19 stock up on food.

url",1
29725,74677,South Dakota ,01-04-2020,Do you think a widespread outbreak in the will have a long lasting impact on the prices in shops,Neutral,1,Do you think a widespread outbreak in the will have a long lasting impact on the prices in shops,1
