UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment,month
29309,74261,"Tidal County, Knoxville, TN",01-04-2020,Overwhelmed with info Before you act stop Ask yourself 1 Who is the message from 2 What do they want me to do 3 What evidence supports this message Then let the answers guide your next steps More via,Positive,1
29700,74652,Liverpool,01-04-2020,Meet Alan Supermarket staff like him are working around the clock to keep the shelves stocked Without them there wouldn t be any food in your fridge during the lockdown,Positive,1
29703,74655,"Oklahoma City, OK",01-04-2020,"Shopping online has been the go-to option for many people during the COVID19 pandemic but savings experts say you must watch for third-party sellers.

https://t.co/0al9keYAuf",Positive,1
29704,74656,"Minot, ND",01-04-2020,"Marketplace Foods in Minot has had the service for about a year, but as youd expect, its seen an uptick in business lately. https://t.co/me1PcVoZA1",Neutral,1
29707,74659,"Lichfield, England",01-04-2020,News Boss of supermarket says buying limits will remain for now,Neutral,1
29708,74660,,01-04-2020,Five key changes supermarkets are implementing to make shopping safer  ,Positive,1
29709,74661,"New York, NY",01-04-2020,"Big #Tech companies are cracking down on false information regarding #coronavirus ?
https://t.co/lhB1OvlzSS",Neutral,1
29710,74662,Nairobi,01-04-2020,"Agriculture CS says there is no need to panic as Kenya has enough food #coronaviruskenya #Covid_19 #FoodSecurity     @kilimoKE @FAO @FAOKenya @OkisegereOjepat @kenyaflower 
https://t.co/UgCcSawOsx",Extremely Negative,1
29713,74665,,01-04-2020,"The E-COMMERCE business has greatly transnsformed the fight against Covid19. Avoid malls and shopping centers. 
Visit us today at https://t.co/IzE1OH3cfR
Shop Agri products online.
#covid 19",Extremely Negative,1
29714,74666,Fighting the War on Stupid ,01-04-2020,A big kudos to for arresting a man for thousands of s amp items selling them to at inflated prices officials say he claimed he was infected with amp coughed on the agents,Neutral,1
29715,74667,"Abuja, Nigeria",01-04-2020,"#Covid_19: Hunger dey everywhere! Abeg, Bring down prices  Ezinne Aja yan Food Sellers https://t.co/WW87bU5Q22 via @TalkHealth9ja",Negative,1
29717,74669,Atlanta,01-04-2020,Cautiously optimistic Chinese consumer behavior post COVID 19 interesting study allowing for a  preview  of how behavior might at least in part be changing in Europe and the western world too 19,Extremely Positive,1
29719,74671,"Lenoir, N.C.",01-04-2020,"Some local farms have seen an influx of business as people concerned about COVID-19 stock up on food.

https://t.co/sdSezzmbtp",Neutral,1
29725,74677,South Dakota ,01-04-2020,Do you think a widespread outbreak in the will have a long lasting impact on the prices in shops,Neutral,1
29727,74679,Glasgow,01-04-2020,"How should retail lenders be supporting their customers, particularly vulnerable customers, during the #coronavirus crisis https://t.co/fuqjTQUQGS https://t.co/9acYr4rqhE",Negative,1
29730,74682,Hopefully not Garden Center,01-04-2020,What do you have to say now Marvin How many more must die for your stock prices,Extremely Negative,1
29731,74683,"Connecticut, USA",01-04-2020,Im starting to like this social distancing thing..I never really liked you mfs next to me in the supermarket anyway! #SocialDistance #COVID?19 #WednesdayThoughts #coronavirus,Neutral,1
29732,74684,"Grand Rapids, MI",01-04-2020,For the first time were learning about the 71-year-old Kent County man who died from COVID-19. ?@WOODTV?  https://t.co/QNNp8dSMXF,Negative,1
29734,74686,"Waterford, Ireland",01-04-2020,"I seen a few people in the supermarket wearing gloves, fellas that don't wash themselves from one end of the week to the next ?? #COVID?19 #coronavirus",Neutral,1
29735,74687,Adn ,01-04-2020,"@HiromiNane Covid 19 still haunted my country and the scariest thing is not about the virus itself but food , i need to stock food so at least i wont die by hunger while im in quarantine , thanks",Extremely Positive,1
29736,74688,Boston,01-04-2020,Food banks struggle as demand explodes thanks to layoffs By Tami Luhby CNN,Neutral,1
29738,74690,San Diego,01-04-2020,The Coronavirus Outbreak Has Been Accompanied By A Surge In Consumer Fraud,Negative,1
29740,74692,"Cardiff Bay, Wales",01-04-2020,"Well in times of #lockdown the only thing to do is online shopping from Germany ?? 
#coronavirus #COVID19 #NoLongerATravellingPA https://t.co/bN15y8mZ6w",Positive,1
29741,74693,Kampala-UG,01-04-2020,CS Munya said this could create an unwarranted shock in the market,Negative,1
29748,74700,"Kansas City, MO",01-04-2020,Great economy that relies solely on consumer overspending apparently.#Coronavirus,Extremely Positive,1
29750,74702,"Toronto, ON",01-04-2020,Local food banks prepare for sharp increase in demand due to COVID 19,Positive,1
29752,74704,"Sydney, Australia",01-04-2020,"Home-lending backdrop to slow slide in property prices
@corelogicau #mortgages #homeloans #lending #property #housing #covid19 #coronavirus 
https://t.co/SD1hvpZrRP",Neutral,1
29753,74705,Around,01-04-2020,"Covid-19 made you all stock up food, but it made me stock-up books. What are you feeding your mind this period ? #StayAtHome #staysafe #COVID19 https://t.co/YGtkmmdx1Y",Neutral,1
29755,74707,NYC,01-04-2020,"Brand response to #coronavirus pandemic vital for consumer trust according to @EdelmanPR. Via @Adweek 

#marketing #brand https://t.co/jPtMW4UNeT",Extremely Positive,1
29758,74710,"Washington, DC",01-04-2020,credit How can people deal with anxiety brought on by this Here are tips from expert Lynn Hagan on s Help Starts Here consumer website,Positive,1
29699,74651,"Denver, Colorado",01-04-2020,"Colorado's 2 largest oil/gas producers cutting pay, hours of employees to weather the economic storm of #coronavirus, falling oil prices https://t.co/IfGxrZWt9S",Negative,1
29696,74648,Earth. ,01-04-2020,"#Jib : Youths In #Bayelsa State Storm Markets To Ensure Traders Don't Increase Prices Of Food Items Due To #coronavirus (Photos): https://t.co/5h2SGEyyc6

#COVID?19",Positive,1
29692,74644,"Bolton, United Kingdom",01-04-2020,A friend sent me a picture from a supermarket in Milan ,Positive,1
29691,74643,"Bolton, United Kingdom",01-04-2020,People stocked up on food in Casalpusterlengo one of several northern Italian towns on lockdown due to an outbreak of in northern Italy,Neutral,1
29612,74564,Manchester,01-04-2020,With the impact of pandemic many sectors are benefiting from the practice of social distancing Up 25 Online Grocery Shopping Up 100 Virus Protection Products Up 807,Neutral,1
29614,74566,"Leeds, England",01-04-2020,"COVID-19 panic-buyers are now binning out-of-date food ????

https://t.co/ksVrKhZ9rZ

#PanicBuying #Coronavirus #FoodWaste https://t.co/A1CUYJfqfU",Negative,1
29616,74568,United States,01-04-2020,"Warning from the @FTC: Want to get your #Coronavirus relief check? Scammers do too.
https://t.co/jl41DufRpG",Positive,1
29617,74569,Trumps Nightmares,01-04-2020,Want to get your #Coronavirus relief check? Scammers do too. https://t.co/oyhEGPVM5V,Positive,1
29621,74573,,01-04-2020,All these sales happening when were not working. Ill just do some online window shopping. ?#coronavirus #StayHome #broke,Neutral,1
29626,74578,"Atlanta, GA",01-04-2020,ISyE Professor s recent blog post discusses the impact of panic buying on grocery store supply chains that have been optimized to meet predictable demand Here s what happens,Negative,1
29627,74579,WORLDWIDE,01-04-2020,COVID-ALERT: How the coronavirus consumer bailout can get you cash - Global Pandemic News | #Coronavirus #COVID19 - https://t.co/kKXe61Roir https://t.co/d2lLHPDj7K,Positive,1
29634,74586,,01-04-2020,extends reserved shopping times for  high risk  customers to online via news,Negative,1
29636,74588,,01-04-2020,We have the first look at Chinese consumer behavior post Brands are preparing for a  new normal   via,Neutral,1
29639,74591,Australia,01-04-2020,Daily Telegraph Supermarket giant IGA has launched its first home delivery service to help support older and more vulnerable customers during the crisis That s our team s latest project,Negative,1
29642,74594,,01-04-2020,US and Russian energy officials hold talks on oil as prices for crude collapses amid a price war and #coronavirus demand breakdown. #OOTT https://t.co/WTNzGV566Q,Extremely Negative,1
29643,74595,Malvern,01-04-2020,"#Coronavirus #Supermarkets #Malvern @MalvernObserver https://t.co/pmpWrIxL3L Supermarket opening times for everyone, NHS workers and specifically for the elderly and vulnerable",Negative,1
29646,74598,New York,01-04-2020,German vegetable prices may rise as coronavirus disrupts crop work - lobby $DBVT #coronavirus #COVID2019 https://t.co/V8qilSISXa,Neutral,1
29648,74600,Indianapolis,01-04-2020,is an economic issue as well as a medical one In partnership with we re launching the Commerce Insight platform to show the impact on global amp regional consumer spending,Positive,1
29760,74712,"Victoria Island, Nigeria",01-04-2020,"""Covid-19:In store versus online shopping"" by @vocal_creators https://t.co/qI66bPUFFj",Neutral,1
29650,74602,"East Butler, PA",01-04-2020,Whether you are looking to implement social distancing in a manufacturing facility or a supermarket check out line and has plenty of durable demarcation systems to help increase safety,Extremely Positive,1
29653,74605,Block Island RI USA,01-04-2020,#RhodeIsland @GovRaimondo announces https://t.co/QRFkYXMDM4 grocery delivery service for #Coronavirus quarantiners; partnering with #RI based supermarket.,Neutral,1
29654,74606,,01-04-2020,".@steinmart extends temporary store closures, furloughs workforce. #retail #steinmart #coronavirus #housewares #homeworld https://t.co/HsmouhwkY8",Positive,1
29655,74607,Coyote Flats,01-04-2020,"If youre wondering how the self-isolation is going, my bathroom scale just asked Alexa to check out hog prices.
#COVID_19",Negative,1
29657,74609,Occupied Lenape Land,01-04-2020,@cunygradstudies food service workers have been laid off during the pandemic. Sign this petition and agitate to have this be reversed! https://t.co/epCc7oOcKK,Negative,1
29664,74616,"Kansas City, MO",01-04-2020,"Here's the week-by-week conversational topics related to coronavirus. LEARN MORE: https://t.co/w1aVkfP1Zx

#coronavirus #socialmedia #branding #Analytics https://t.co/bcPaQh8rCf",Neutral,1
29665,74617,"Philadelphia, PA",01-04-2020,This article answers an important question how best to shop for groceries 19,Extremely Positive,1
29666,74618,UK,01-04-2020,Next stops online shopping amid UK coronavirus restrictions https://t.co/JrwvLLHMif c/o @guardian #retailnews #onlineshopping #Next #retailstores #coronavirus https://t.co/fSQ23dwUd1,Negative,1
29667,74619,"Montreal, Quebec, Canada",01-04-2020,"Le Toy Van wooden toys back in stock!!! Enjoy our selection of wood toys at the lowest prices.
#toystore #toys #games #smallbusiness #coronavirus #wereopen #kidstoys https://t.co/2INzfgXAVH",Positive,1
29669,74621,Ghana,01-04-2020,Kenyan manufacturers unveil online shopping #portal to battle #coronavirus https://t.co/MVuoEc4pzX #kenyanmanufacturers,Negative,1
29671,74623,"St Louis, MO",01-04-2020,"I saw a guy in a MAGA shirt at the supermarket today.
I called him an asshole.
#catharsus
#MAGACreatedCoronaWorld
#coronavirus",Neutral,1
29678,74630,"Vermont, USA",01-04-2020,Vermont shoppers hoping to grab an exercise mat or a video game inside Walmart are out of luck via WMT,Extremely Positive,1
29680,74632,,01-04-2020,"Social Distancing: Consumer Spend, Employment &amp; S&amp;P 500 Earnings https://t.co/KscK1vKRZg",Neutral,1
29682,74634,London,01-04-2020,Are you classified as a vulnerable shopper From Tesco to Morrisons   Beard runs down what all the UK supermarkets are doing for you   and she explains how to get priority home delivery,Negative,1
29686,74638,Bristol,01-04-2020,"I have been social distancing so much that when I went to the supermarket after work, I parked my car so it was social distancing from the other cars ????? #coronavirus",Neutral,1
29651,74603,India,01-04-2020,Apple has confirmed that all retail employees regardless of participation are being paid their full salaries and benefits,Positive,1
29608,74560,"Mississauga, Ontario",01-04-2020,"Online shopping are open 24/7

https://t.co/O8grODHxoA
https://t.co/xTsceyKKtG

#coronavirus 
#covid19
#quarantine 
#isolated 
#stayhome
#14days https://t.co/Ya06EJRedF",Neutral,1
29761,74713,Hyderabad,01-04-2020,"Using hand sanitizer is one of the most effective ways to protect yourself and others from the #coronavirus...
#StopCoronaVirus #StayHomeStaySafe https://t.co/CJjI1ly574",Extremely Positive,1
29764,74716,Lagos - Nigeria,01-04-2020,"#news #metropolitan - COVID-19: Lagos continues food distribution, residents demand more https://t.co/KuD5eLVTK2",Negative,1
29862,74814,"Richmond, VA",01-04-2020,"In Richmond, local boutiques and thrift stores are searching for new ways to serve customers and keep their businesses running. 
https://t.co/nMHIJkcbsz",Neutral,1
29863,74815,"Austin, TX",01-04-2020,Want to get your #Coronavirus relief check? #Scammers do too. | FTC Consumer Information https://t.co/jgUNH74BuT #fraud #banking #idtheft,Positive,1
29864,74816,"Los Angeles, CA",01-04-2020,"Key question for #Coronavirus: 

Is consumer behavior fundamentally altered after recovery or not?",Neutral,1
29865,74817,"Tallahassee, Fl",01-04-2020,@AGAshleyMoody issued a consumer alert to warn Floridians about scammers using the new #coronavirus stimulus package to target Floridians. #MustSeeTFC #COVID19 https://t.co/B8j9NuV2Xk,Positive,1
